Tên cảm biến,Giá trị,Thời gian
Illuminance,265,2025-04-25 04:30:33
AtmosphericPressure,1009.7,2025-04-25 04:30:33
Noise,53.56,2025-04-25 04:30:33
eTVOC,152,2025-04-25 04:30:33
eCO2,1404,2025-04-25 04:30:33
DiscomfortIndex,83.19,2025-04-25 04:30:33
HeatstrokeRiskLevel,28.18,2025-04-25 04:30:33
temperature,25.82,2025-04-25 04:30:34
Humidity,53.14,2025-04-25 04:30:34
Illuminance,265,2025-04-25 04:30:34
AtmosphericPressure,1009.701,2025-04-25 04:30:34
Noise,64.07,2025-04-25 04:30:34
eTVOC,150,2025-04-25 04:30:34
eCO2,1389,2025-04-25 04:30:34
DiscomfortIndex,83.14,2025-04-25 04:30:34
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:34
temperature,25.82,2025-04-25 04:30:35
Humidity,53.14,2025-04-25 04:30:35
Illuminance,265,2025-04-25 04:30:35
AtmosphericPressure,1009.701,2025-04-25 04:30:35
Noise,64.07,2025-04-25 04:30:35
eTVOC,150,2025-04-25 04:30:35
eCO2,1389,2025-04-25 04:30:35
DiscomfortIndex,83.14,2025-04-25 04:30:35
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:35
temperature,25.82,2025-04-25 04:30:36
Humidity,53.14,2025-04-25 04:30:36
Illuminance,265,2025-04-25 04:30:36
AtmosphericPressure,1009.701,2025-04-25 04:30:36
Noise,64.07,2025-04-25 04:30:36
eTVOC,150,2025-04-25 04:30:36
eCO2,1389,2025-04-25 04:30:36
DiscomfortIndex,83.14,2025-04-25 04:30:36
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:36
temperature,25.75,2025-04-25 04:30:37
Humidity,53.27,2025-04-25 04:30:37
Illuminance,265,2025-04-25 04:30:37
AtmosphericPressure,1009.707,2025-04-25 04:30:37
Noise,68,2025-04-25 04:30:37
eTVOC,154,2025-04-25 04:30:37
eCO2,1416,2025-04-25 04:30:37
DiscomfortIndex,83.15,2025-04-25 04:30:37
HeatstrokeRiskLevel,28.13,2025-04-25 04:30:37
temperature,25.75,2025-04-25 04:30:38
Humidity,53.27,2025-04-25 04:30:38
Illuminance,265,2025-04-25 04:30:38
AtmosphericPressure,1009.707,2025-04-25 04:30:38
Noise,68,2025-04-25 04:30:38
eTVOC,154,2025-04-25 04:30:38
eCO2,1416,2025-04-25 04:30:38
DiscomfortIndex,83.15,2025-04-25 04:30:38
HeatstrokeRiskLevel,28.13,2025-04-25 04:30:38
temperature,25.75,2025-04-25 04:30:39
Humidity,53.27,2025-04-25 04:30:39
Illuminance,265,2025-04-25 04:30:39
AtmosphericPressure,1009.707,2025-04-25 04:30:39
Noise,68,2025-04-25 04:30:39
eTVOC,154,2025-04-25 04:30:39
eCO2,1416,2025-04-25 04:30:39
DiscomfortIndex,83.15,2025-04-25 04:30:39
HeatstrokeRiskLevel,28.13,2025-04-25 04:30:39
temperature,25.81,2025-04-25 04:30:40
Humidity,53.17,2025-04-25 04:30:40
Illuminance,265,2025-04-25 04:30:40
AtmosphericPressure,1009.705,2025-04-25 04:30:40
Noise,65.72,2025-04-25 04:30:40
eTVOC,150,2025-04-25 04:30:40
eCO2,1389,2025-04-25 04:30:40
DiscomfortIndex,83.14,2025-04-25 04:30:40
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:40
temperature,25.81,2025-04-25 04:30:41
Humidity,53.17,2025-04-25 04:30:41
Illuminance,265,2025-04-25 04:30:41
AtmosphericPressure,1009.705,2025-04-25 04:30:41
Noise,65.72,2025-04-25 04:30:41
eTVOC,150,2025-04-25 04:30:41
eCO2,1389,2025-04-25 04:30:41
DiscomfortIndex,83.14,2025-04-25 04:30:41
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:41
temperature,25.81,2025-04-25 04:30:42
Humidity,53.17,2025-04-25 04:30:42
Illuminance,265,2025-04-25 04:30:42
AtmosphericPressure,1009.705,2025-04-25 04:30:42
Noise,65.72,2025-04-25 04:30:42
eTVOC,150,2025-04-25 04:30:42
eCO2,1389,2025-04-25 04:30:42
DiscomfortIndex,83.14,2025-04-25 04:30:42
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:42
temperature,25.77,2025-04-25 04:30:43
Humidity,53.14,2025-04-25 04:30:43
Illuminance,265,2025-04-25 04:30:43
AtmosphericPressure,1009.704,2025-04-25 04:30:43
Noise,51.98,2025-04-25 04:30:43
eTVOC,150,2025-04-25 04:30:43
eCO2,1389,2025-04-25 04:30:43
DiscomfortIndex,83.13,2025-04-25 04:30:43
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:43
temperature,25.77,2025-04-25 04:30:44
Humidity,53.14,2025-04-25 04:30:44
Illuminance,265,2025-04-25 04:30:44
AtmosphericPressure,1009.704,2025-04-25 04:30:44
Noise,51.98,2025-04-25 04:30:44
eTVOC,150,2025-04-25 04:30:44
eCO2,1389,2025-04-25 04:30:44
DiscomfortIndex,83.13,2025-04-25 04:30:44
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:44
temperature,25.77,2025-04-25 04:30:45
Humidity,53.14,2025-04-25 04:30:45
Illuminance,265,2025-04-25 04:30:45
AtmosphericPressure,1009.704,2025-04-25 04:30:45
Noise,51.98,2025-04-25 04:30:45
eTVOC,150,2025-04-25 04:30:45
eCO2,1389,2025-04-25 04:30:45
DiscomfortIndex,83.13,2025-04-25 04:30:45
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:45
temperature,25.76,2025-04-25 04:30:46
Humidity,53.19,2025-04-25 04:30:46
Illuminance,262,2025-04-25 04:30:46
AtmosphericPressure,1009.702,2025-04-25 04:30:46
Noise,66.99,2025-04-25 04:30:46
eTVOC,150,2025-04-25 04:30:46
eCO2,1389,2025-04-25 04:30:46
DiscomfortIndex,83.13,2025-04-25 04:30:46
HeatstrokeRiskLevel,28.14,2025-04-25 04:30:46
temperature,25.76,2025-04-25 04:30:47
Humidity,53.19,2025-04-25 04:30:47
Illuminance,262,2025-04-25 04:30:47
AtmosphericPressure,1009.702,2025-04-25 04:30:47
Noise,66.99,2025-04-25 04:30:47
eTVOC,150,2025-04-25 04:30:47
eCO2,1389,2025-04-25 04:30:47
DiscomfortIndex,83.13,2025-04-25 04:30:47
HeatstrokeRiskLevel,28.14,2025-04-25 04:30:47
temperature,25.76,2025-04-25 04:30:48
Humidity,53.19,2025-04-25 04:30:48
Illuminance,262,2025-04-25 04:30:48
AtmosphericPressure,1009.702,2025-04-25 04:30:48
Noise,66.99,2025-04-25 04:30:48
eTVOC,150,2025-04-25 04:30:48
eCO2,1389,2025-04-25 04:30:48
DiscomfortIndex,83.13,2025-04-25 04:30:48
HeatstrokeRiskLevel,28.14,2025-04-25 04:30:48
temperature,25.79,2025-04-25 04:30:49
Humidity,53.17,2025-04-25 04:30:49
Illuminance,258,2025-04-25 04:30:49
AtmosphericPressure,1009.707,2025-04-25 04:30:49
Noise,60.67,2025-04-25 04:30:49
eTVOC,152,2025-04-25 04:30:49
eCO2,1404,2025-04-25 04:30:49
DiscomfortIndex,83.16,2025-04-25 04:30:49
HeatstrokeRiskLevel,28.17,2025-04-25 04:30:49
temperature,25.79,2025-04-25 04:30:50
Humidity,53.17,2025-04-25 04:30:50
Illuminance,258,2025-04-25 04:30:50
AtmosphericPressure,1009.707,2025-04-25 04:30:50
Noise,60.67,2025-04-25 04:30:50
eTVOC,152,2025-04-25 04:30:50
eCO2,1404,2025-04-25 04:30:50
DiscomfortIndex,83.16,2025-04-25 04:30:50
HeatstrokeRiskLevel,28.17,2025-04-25 04:30:50
temperature,25.79,2025-04-25 04:30:51
Humidity,53.17,2025-04-25 04:30:51
Illuminance,258,2025-04-25 04:30:51
AtmosphericPressure,1009.707,2025-04-25 04:30:51
Noise,60.67,2025-04-25 04:30:51
eTVOC,152,2025-04-25 04:30:51
eCO2,1404,2025-04-25 04:30:51
DiscomfortIndex,83.16,2025-04-25 04:30:51
HeatstrokeRiskLevel,28.17,2025-04-25 04:30:51
temperature,25.77,2025-04-25 04:30:52
Humidity,53.16,2025-04-25 04:30:52
Illuminance,262,2025-04-25 04:30:52
AtmosphericPressure,1009.7,2025-04-25 04:30:52
Noise,65.44,2025-04-25 04:30:52
eTVOC,149,2025-04-25 04:30:52
eCO2,1380,2025-04-25 04:30:52
DiscomfortIndex,83.14,2025-04-25 04:30:52
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:52
temperature,25.77,2025-04-25 04:30:53
Humidity,53.16,2025-04-25 04:30:53
Illuminance,262,2025-04-25 04:30:53
AtmosphericPressure,1009.7,2025-04-25 04:30:53
Noise,65.44,2025-04-25 04:30:53
eTVOC,149,2025-04-25 04:30:53
eCO2,1380,2025-04-25 04:30:53
DiscomfortIndex,83.14,2025-04-25 04:30:53
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:53
temperature,25.77,2025-04-25 04:30:54
Humidity,53.16,2025-04-25 04:30:54
Illuminance,262,2025-04-25 04:30:54
AtmosphericPressure,1009.7,2025-04-25 04:30:54
Noise,65.44,2025-04-25 04:30:54
eTVOC,149,2025-04-25 04:30:54
eCO2,1380,2025-04-25 04:30:54
DiscomfortIndex,83.14,2025-04-25 04:30:54
HeatstrokeRiskLevel,28.15,2025-04-25 04:30:54
temperature,25.76,2025-04-25 04:30:55
Humidity,53.19,2025-04-25 04:30:55
Illuminance,267,2025-04-25 04:30:55
AtmosphericPressure,1009.699,2025-04-25 04:30:55
Noise,71.32,2025-04-25 04:30:55
eTVOC,150,2025-04-25 04:30:55
eCO2,1389,2025-04-25 04:30:55
DiscomfortIndex,83.13,2025-04-25 04:30:55
HeatstrokeRiskLevel,28.12,2025-04-25 04:30:55
temperature,25.76,2025-04-25 04:30:56
Humidity,53.19,2025-04-25 04:30:56
Illuminance,267,2025-04-25 04:30:56
AtmosphericPressure,1009.699,2025-04-25 04:30:56
Noise,71.32,2025-04-25 04:30:56
eTVOC,150,2025-04-25 04:30:56
eCO2,1389,2025-04-25 04:30:56
DiscomfortIndex,83.13,2025-04-25 04:30:56
HeatstrokeRiskLevel,28.12,2025-04-25 04:30:56
temperature,25.76,2025-04-25 04:30:57
Humidity,53.19,2025-04-25 04:30:57
Illuminance,267,2025-04-25 04:30:57
AtmosphericPressure,1009.699,2025-04-25 04:30:57
Noise,71.32,2025-04-25 04:30:57
eTVOC,150,2025-04-25 04:30:57
eCO2,1389,2025-04-25 04:30:57
DiscomfortIndex,83.13,2025-04-25 04:30:57
HeatstrokeRiskLevel,28.12,2025-04-25 04:30:57
temperature,25.74,2025-04-25 04:30:58
Humidity,53.2,2025-04-25 04:30:58
Illuminance,267,2025-04-25 04:30:58
AtmosphericPressure,1009.694,2025-04-25 04:30:58
Noise,52.14,2025-04-25 04:30:58
eTVOC,149,2025-04-25 04:30:58
eCO2,1380,2025-04-25 04:30:58
DiscomfortIndex,83.13,2025-04-25 04:30:58
HeatstrokeRiskLevel,28.14,2025-04-25 04:30:58
temperature,25.74,2025-04-25 04:30:59
Humidity,53.2,2025-04-25 04:30:59
Illuminance,267,2025-04-25 04:30:59
AtmosphericPressure,1009.694,2025-04-25 04:30:59
Noise,52.14,2025-04-25 04:30:59
eTVOC,149,2025-04-25 04:30:59
eCO2,1380,2025-04-25 04:30:59
DiscomfortIndex,83.13,2025-04-25 04:30:59
HeatstrokeRiskLevel,28.14,2025-04-25 04:30:59
temperature,25.74,2025-04-25 04:31:00
Humidity,53.2,2025-04-25 04:31:00
Illuminance,267,2025-04-25 04:31:00
AtmosphericPressure,1009.694,2025-04-25 04:31:00
Noise,52.14,2025-04-25 04:31:00
eTVOC,149,2025-04-25 04:31:00
eCO2,1380,2025-04-25 04:31:00
DiscomfortIndex,83.13,2025-04-25 04:31:00
HeatstrokeRiskLevel,28.14,2025-04-25 04:31:00
temperature,25.74,2025-04-25 04:31:01
Humidity,53.15,2025-04-25 04:31:01
Illuminance,267,2025-04-25 04:31:01
AtmosphericPressure,1009.695,2025-04-25 04:31:01
Noise,66.57,2025-04-25 04:31:01
eTVOC,163,2025-04-25 04:31:01
eCO2,1474,2025-04-25 04:31:01
DiscomfortIndex,83.08,2025-04-25 04:31:01
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:01
temperature,25.74,2025-04-25 04:31:02
Humidity,53.15,2025-04-25 04:31:02
Illuminance,267,2025-04-25 04:31:02
AtmosphericPressure,1009.695,2025-04-25 04:31:02
Noise,66.57,2025-04-25 04:31:02
eTVOC,163,2025-04-25 04:31:02
eCO2,1474,2025-04-25 04:31:02
DiscomfortIndex,83.08,2025-04-25 04:31:02
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:02
temperature,25.74,2025-04-25 04:31:03
Humidity,53.15,2025-04-25 04:31:03
Illuminance,267,2025-04-25 04:31:03
AtmosphericPressure,1009.695,2025-04-25 04:31:03
Noise,66.57,2025-04-25 04:31:03
eTVOC,163,2025-04-25 04:31:03
eCO2,1474,2025-04-25 04:31:03
DiscomfortIndex,83.08,2025-04-25 04:31:03
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:03
temperature,25.73,2025-04-25 04:31:04
Humidity,53.17,2025-04-25 04:31:04
Illuminance,267,2025-04-25 04:31:04
AtmosphericPressure,1009.696,2025-04-25 04:31:04
Noise,51.18,2025-04-25 04:31:04
eTVOC,163,2025-04-25 04:31:04
eCO2,1474,2025-04-25 04:31:04
DiscomfortIndex,83.08,2025-04-25 04:31:04
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:04
temperature,25.73,2025-04-25 04:31:05
Humidity,53.17,2025-04-25 04:31:05
Illuminance,267,2025-04-25 04:31:05
AtmosphericPressure,1009.696,2025-04-25 04:31:05
Noise,51.18,2025-04-25 04:31:05
eTVOC,163,2025-04-25 04:31:05
eCO2,1474,2025-04-25 04:31:05
DiscomfortIndex,83.08,2025-04-25 04:31:05
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:05
temperature,25.73,2025-04-25 04:31:06
Humidity,53.17,2025-04-25 04:31:06
Illuminance,267,2025-04-25 04:31:06
AtmosphericPressure,1009.696,2025-04-25 04:31:06
Noise,51.18,2025-04-25 04:31:06
eTVOC,163,2025-04-25 04:31:06
eCO2,1474,2025-04-25 04:31:06
DiscomfortIndex,83.08,2025-04-25 04:31:06
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:06
temperature,25.7,2025-04-25 04:31:07
Humidity,53.18,2025-04-25 04:31:07
Illuminance,267,2025-04-25 04:31:07
AtmosphericPressure,1009.688,2025-04-25 04:31:07
Noise,58.29,2025-04-25 04:31:07
eTVOC,163,2025-04-25 04:31:07
eCO2,1474,2025-04-25 04:31:07
DiscomfortIndex,83.07,2025-04-25 04:31:07
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:07
temperature,25.7,2025-04-25 04:31:08
Humidity,53.18,2025-04-25 04:31:08
Illuminance,267,2025-04-25 04:31:08
AtmosphericPressure,1009.688,2025-04-25 04:31:08
Noise,58.29,2025-04-25 04:31:08
eTVOC,163,2025-04-25 04:31:08
eCO2,1474,2025-04-25 04:31:08
DiscomfortIndex,83.07,2025-04-25 04:31:08
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:08
temperature,25.7,2025-04-25 04:31:09
Humidity,53.18,2025-04-25 04:31:09
Illuminance,267,2025-04-25 04:31:09
AtmosphericPressure,1009.688,2025-04-25 04:31:09
Noise,58.29,2025-04-25 04:31:09
eTVOC,163,2025-04-25 04:31:09
eCO2,1474,2025-04-25 04:31:09
DiscomfortIndex,83.07,2025-04-25 04:31:09
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:09
temperature,25.71,2025-04-25 04:31:10
Humidity,53.15,2025-04-25 04:31:10
Illuminance,267,2025-04-25 04:31:10
AtmosphericPressure,1009.689,2025-04-25 04:31:10
Noise,66.19,2025-04-25 04:31:10
eTVOC,163,2025-04-25 04:31:10
eCO2,1474,2025-04-25 04:31:10
DiscomfortIndex,83.09,2025-04-25 04:31:10
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:10
temperature,25.71,2025-04-25 04:31:11
Humidity,53.15,2025-04-25 04:31:11
Illuminance,267,2025-04-25 04:31:11
AtmosphericPressure,1009.689,2025-04-25 04:31:11
Noise,66.19,2025-04-25 04:31:11
eTVOC,163,2025-04-25 04:31:11
eCO2,1474,2025-04-25 04:31:11
DiscomfortIndex,83.09,2025-04-25 04:31:11
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:11
temperature,25.71,2025-04-25 04:31:12
Humidity,53.15,2025-04-25 04:31:12
Illuminance,267,2025-04-25 04:31:12
AtmosphericPressure,1009.689,2025-04-25 04:31:12
Noise,66.19,2025-04-25 04:31:12
eTVOC,163,2025-04-25 04:31:12
eCO2,1474,2025-04-25 04:31:12
DiscomfortIndex,83.09,2025-04-25 04:31:12
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:12
temperature,25.72,2025-04-25 04:31:13
Humidity,53.2,2025-04-25 04:31:13
Illuminance,267,2025-04-25 04:31:13
AtmosphericPressure,1009.681,2025-04-25 04:31:13
Noise,49.21,2025-04-25 04:31:13
eTVOC,163,2025-04-25 04:31:13
eCO2,1474,2025-04-25 04:31:13
DiscomfortIndex,83.1,2025-04-25 04:31:13
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:13
temperature,25.72,2025-04-25 04:31:14
Humidity,53.2,2025-04-25 04:31:14
Illuminance,267,2025-04-25 04:31:14
AtmosphericPressure,1009.681,2025-04-25 04:31:14
Noise,49.21,2025-04-25 04:31:14
eTVOC,163,2025-04-25 04:31:14
eCO2,1474,2025-04-25 04:31:14
DiscomfortIndex,83.1,2025-04-25 04:31:14
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:14
temperature,25.72,2025-04-25 04:31:15
Humidity,53.2,2025-04-25 04:31:15
Illuminance,267,2025-04-25 04:31:15
AtmosphericPressure,1009.681,2025-04-25 04:31:15
Noise,49.21,2025-04-25 04:31:15
eTVOC,163,2025-04-25 04:31:15
eCO2,1474,2025-04-25 04:31:15
DiscomfortIndex,83.1,2025-04-25 04:31:15
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:15
temperature,25.69,2025-04-25 04:31:16
Humidity,53.31,2025-04-25 04:31:16
Illuminance,267,2025-04-25 04:31:16
AtmosphericPressure,1009.691,2025-04-25 04:31:16
Noise,55.77,2025-04-25 04:31:16
eTVOC,161,2025-04-25 04:31:16
eCO2,1462,2025-04-25 04:31:16
DiscomfortIndex,83.07,2025-04-25 04:31:16
HeatstrokeRiskLevel,28.1,2025-04-25 04:31:16
temperature,25.69,2025-04-25 04:31:17
Humidity,53.31,2025-04-25 04:31:17
Illuminance,267,2025-04-25 04:31:17
AtmosphericPressure,1009.691,2025-04-25 04:31:17
Noise,55.77,2025-04-25 04:31:17
eTVOC,161,2025-04-25 04:31:17
eCO2,1462,2025-04-25 04:31:17
DiscomfortIndex,83.07,2025-04-25 04:31:17
HeatstrokeRiskLevel,28.1,2025-04-25 04:31:17
temperature,25.69,2025-04-25 04:31:18
Humidity,53.31,2025-04-25 04:31:18
Illuminance,267,2025-04-25 04:31:18
AtmosphericPressure,1009.691,2025-04-25 04:31:18
Noise,55.77,2025-04-25 04:31:18
eTVOC,161,2025-04-25 04:31:18
eCO2,1462,2025-04-25 04:31:18
DiscomfortIndex,83.07,2025-04-25 04:31:18
HeatstrokeRiskLevel,28.1,2025-04-25 04:31:18
temperature,25.69,2025-04-25 04:31:19
Humidity,53.26,2025-04-25 04:31:19
Illuminance,267,2025-04-25 04:31:19
AtmosphericPressure,1009.69,2025-04-25 04:31:19
Noise,65.51,2025-04-25 04:31:19
eTVOC,161,2025-04-25 04:31:19
eCO2,1458,2025-04-25 04:31:19
DiscomfortIndex,83.08,2025-04-25 04:31:19
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:19
temperature,25.69,2025-04-25 04:31:20
Humidity,53.26,2025-04-25 04:31:20
Illuminance,267,2025-04-25 04:31:20
AtmosphericPressure,1009.69,2025-04-25 04:31:20
Noise,65.51,2025-04-25 04:31:20
eTVOC,161,2025-04-25 04:31:20
eCO2,1458,2025-04-25 04:31:20
DiscomfortIndex,83.08,2025-04-25 04:31:20
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:20
temperature,25.69,2025-04-25 04:31:21
Humidity,53.26,2025-04-25 04:31:21
Illuminance,267,2025-04-25 04:31:21
AtmosphericPressure,1009.69,2025-04-25 04:31:21
Noise,65.51,2025-04-25 04:31:21
eTVOC,161,2025-04-25 04:31:21
eCO2,1458,2025-04-25 04:31:21
DiscomfortIndex,83.08,2025-04-25 04:31:21
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:21
temperature,25.7,2025-04-25 04:31:22
Humidity,53.28,2025-04-25 04:31:22
Illuminance,267,2025-04-25 04:31:22
AtmosphericPressure,1009.689,2025-04-25 04:31:22
Noise,75.4,2025-04-25 04:31:22
eTVOC,164,2025-04-25 04:31:22
eCO2,1478,2025-04-25 04:31:22
DiscomfortIndex,83.09,2025-04-25 04:31:22
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:22
temperature,25.7,2025-04-25 04:31:23
Humidity,53.28,2025-04-25 04:31:23
Illuminance,267,2025-04-25 04:31:23
AtmosphericPressure,1009.689,2025-04-25 04:31:23
Noise,75.4,2025-04-25 04:31:23
eTVOC,164,2025-04-25 04:31:23
eCO2,1478,2025-04-25 04:31:23
DiscomfortIndex,83.09,2025-04-25 04:31:23
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:23
temperature,25.7,2025-04-25 04:31:24
Humidity,53.28,2025-04-25 04:31:24
Illuminance,267,2025-04-25 04:31:24
AtmosphericPressure,1009.689,2025-04-25 04:31:24
Noise,75.4,2025-04-25 04:31:24
eTVOC,164,2025-04-25 04:31:24
eCO2,1478,2025-04-25 04:31:24
DiscomfortIndex,83.09,2025-04-25 04:31:24
HeatstrokeRiskLevel,28.11,2025-04-25 04:31:24
temperature,25.67,2025-04-25 04:31:25
Humidity,53.37,2025-04-25 04:31:25
Illuminance,267,2025-04-25 04:31:25
AtmosphericPressure,1009.691,2025-04-25 04:31:25
Noise,63.29,2025-04-25 04:31:25
eTVOC,169,2025-04-25 04:31:25
eCO2,1496,2025-04-25 04:31:25
DiscomfortIndex,83.06,2025-04-25 04:31:25
HeatstrokeRiskLevel,28.07,2025-04-25 04:31:25
temperature,25.67,2025-04-25 04:31:26
Humidity,53.37,2025-04-25 04:31:26
Illuminance,267,2025-04-25 04:31:26
AtmosphericPressure,1009.691,2025-04-25 04:31:26
Noise,63.29,2025-04-25 04:31:26
eTVOC,169,2025-04-25 04:31:26
eCO2,1496,2025-04-25 04:31:26
DiscomfortIndex,83.06,2025-04-25 04:31:26
HeatstrokeRiskLevel,28.07,2025-04-25 04:31:26
temperature,25.67,2025-04-25 04:31:27
Humidity,53.37,2025-04-25 04:31:27
Illuminance,267,2025-04-25 04:31:27
AtmosphericPressure,1009.691,2025-04-25 04:31:27
Noise,63.29,2025-04-25 04:31:27
eTVOC,169,2025-04-25 04:31:27
eCO2,1496,2025-04-25 04:31:27
DiscomfortIndex,83.06,2025-04-25 04:31:27
HeatstrokeRiskLevel,28.07,2025-04-25 04:31:27
temperature,25.73,2025-04-25 04:31:28
Humidity,53.36,2025-04-25 04:31:28
Illuminance,267,2025-04-25 04:31:28
AtmosphericPressure,1009.683,2025-04-25 04:31:28
Noise,68.89,2025-04-25 04:31:28
eTVOC,165,2025-04-25 04:31:28
eCO2,1487,2025-04-25 04:31:28
DiscomfortIndex,83.16,2025-04-25 04:31:28
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:28
temperature,25.73,2025-04-25 04:31:29
Humidity,53.36,2025-04-25 04:31:29
Illuminance,267,2025-04-25 04:31:29
AtmosphericPressure,1009.683,2025-04-25 04:31:29
Noise,68.89,2025-04-25 04:31:29
eTVOC,165,2025-04-25 04:31:29
eCO2,1487,2025-04-25 04:31:29
DiscomfortIndex,83.16,2025-04-25 04:31:29
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:29
temperature,25.73,2025-04-25 04:31:30
Humidity,53.36,2025-04-25 04:31:30
Illuminance,267,2025-04-25 04:31:30
AtmosphericPressure,1009.683,2025-04-25 04:31:30
Noise,68.89,2025-04-25 04:31:30
eTVOC,165,2025-04-25 04:31:30
eCO2,1487,2025-04-25 04:31:30
DiscomfortIndex,83.16,2025-04-25 04:31:30
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:30
temperature,25.75,2025-04-25 04:31:31
Humidity,53.57,2025-04-25 04:31:31
Illuminance,267,2025-04-25 04:31:31
AtmosphericPressure,1009.691,2025-04-25 04:31:31
Noise,63.11,2025-04-25 04:31:31
eTVOC,148,2025-04-25 04:31:31
eCO2,1372,2025-04-25 04:31:31
DiscomfortIndex,83.15,2025-04-25 04:31:31
HeatstrokeRiskLevel,28.09,2025-04-25 04:31:31
temperature,25.75,2025-04-25 04:31:32
Humidity,53.57,2025-04-25 04:31:32
Illuminance,267,2025-04-25 04:31:32
AtmosphericPressure,1009.691,2025-04-25 04:31:32
Noise,63.11,2025-04-25 04:31:32
eTVOC,148,2025-04-25 04:31:32
eCO2,1372,2025-04-25 04:31:32
DiscomfortIndex,83.15,2025-04-25 04:31:32
HeatstrokeRiskLevel,28.09,2025-04-25 04:31:32
temperature,25.75,2025-04-25 04:31:33
Humidity,53.57,2025-04-25 04:31:33
Illuminance,267,2025-04-25 04:31:33
AtmosphericPressure,1009.691,2025-04-25 04:31:33
Noise,63.11,2025-04-25 04:31:33
eTVOC,148,2025-04-25 04:31:33
eCO2,1372,2025-04-25 04:31:33
DiscomfortIndex,83.15,2025-04-25 04:31:33
HeatstrokeRiskLevel,28.09,2025-04-25 04:31:33
temperature,25.71,2025-04-25 04:31:34
Humidity,53.9,2025-04-25 04:31:34
Illuminance,267,2025-04-25 04:31:34
AtmosphericPressure,1009.69,2025-04-25 04:31:34
Noise,58.76,2025-04-25 04:31:34
eTVOC,165,2025-04-25 04:31:34
eCO2,1487,2025-04-25 04:31:34
DiscomfortIndex,83.2,2025-04-25 04:31:34
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:34
temperature,25.71,2025-04-25 04:31:35
Humidity,53.9,2025-04-25 04:31:35
Illuminance,267,2025-04-25 04:31:35
AtmosphericPressure,1009.69,2025-04-25 04:31:35
Noise,58.76,2025-04-25 04:31:35
eTVOC,165,2025-04-25 04:31:35
eCO2,1487,2025-04-25 04:31:35
DiscomfortIndex,83.2,2025-04-25 04:31:35
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:35
temperature,25.71,2025-04-25 04:31:36
Humidity,53.9,2025-04-25 04:31:36
Illuminance,267,2025-04-25 04:31:36
AtmosphericPressure,1009.69,2025-04-25 04:31:36
Noise,58.76,2025-04-25 04:31:36
eTVOC,165,2025-04-25 04:31:36
eCO2,1487,2025-04-25 04:31:36
DiscomfortIndex,83.2,2025-04-25 04:31:36
HeatstrokeRiskLevel,28.12,2025-04-25 04:31:36
temperature,25.73,2025-04-25 04:31:37
Humidity,53.85,2025-04-25 04:31:37
Illuminance,267,2025-04-25 04:31:37
AtmosphericPressure,1009.691,2025-04-25 04:31:37
Noise,64.14,2025-04-25 04:31:37
eTVOC,164,2025-04-25 04:31:37
eCO2,1478,2025-04-25 04:31:37
DiscomfortIndex,83.22,2025-04-25 04:31:37
HeatstrokeRiskLevel,28.13,2025-04-25 04:31:37
temperature,25.73,2025-04-25 04:31:38
Humidity,53.85,2025-04-25 04:31:38
Illuminance,267,2025-04-25 04:31:38
AtmosphericPressure,1009.691,2025-04-25 04:31:38
Noise,64.14,2025-04-25 04:31:38
eTVOC,164,2025-04-25 04:31:38
eCO2,1478,2025-04-25 04:31:38
DiscomfortIndex,83.22,2025-04-25 04:31:38
